mp-ids,K_VRH
mp-24152,88.0
mp-24286,130.0
mp-252,55.0
mp-2663,207.0
mp-2675,127.0
mp-2682,104.0
mp-2685,115.0
mp-27219,49.0
mp-27315,50.0
mp-27321,40.0
mp-274,98.0
mp-28174,4.0
mp-28266,109.0
mp-28336,24.0
mp-28391,1.0
mp-28567,72.0
mp-28614,155.0
mp-28895,88.0
mp-29136,61.0
mp-29731,65.0
mp-29941,74.0
mp-30206,13.0
mp-30339,80.0
mp-30356,41.0
mp-30357,21.0
mp-30383,134.0
mp-30405,58.0
mp-30433,60.0
mp-30494,61.0
mp-3050,171.0
mp-30533,32.0
mp-30563,138.0
mp-30686,111.0
mp-30778,71.0
mp-30849,243.0
mp-30867,144.0
mp-30953,2.0
mp-31018,35.0
mp-31220,15.0
mp-315,70.0
mp-3159,33.0
mp-3340,203.0
mp-3346,75.0
mp-3486,28.0
mp-3515,146.0
mp-3635,60.0
mp-3698,52.0
mp-3718,85.0
mp-3838,71.0
mp-3887,99.0
mp-38970,22.0
mp-3917,100.0
mp-3958,170.0
mp-4037,163.0
mp-4073,228.0
mp-408,50.0
mp-410,136.0
mp-4177,144.0
mp-423,152.0
mp-4248,167.0
mp-4259,97.0
mp-432,237.0
mp-4454,227.0
mp-448,251.0
mp-4520,100.0
mp-4531,27.0
mp-4556,42.0
mp-4612,179.0
mp-4691,45.0
mp-477,69.0
mp-4876,14.0
mp-4903,115.0
mp-4969,117.0
mp-4972,96.0
mp-4978,155.0
mp-4982,164.0
mp-504731,66.0
mp-5048,27.0
mp-504886,131.0
mp-505569,67.0
mp-510076,14.0
mp-510401,80.0
mp-5157,101.0
mp-5221,172.0
mp-5268,98.0
mp-5364,80.0
mp-54,212.0
mp-541754,39.0
mp-541899,14.0
mp-542583,33.0
mp-542757,53.0
mp-543024,15.0
mp-545598,109.0
mp-545999,86.0
mp-546500,27.0
mp-5478,141.0
mp-550566,64.0
mp-552185,35.0
mp-552292,64.0
mp-5529,233.0
mp-5549,67.0
mp-555321,59.0
mp-555718,64.0
mp-557057,206.0
mp-558078,57.0
mp-558781,177.0
mp-558838,41.0
mp-562102,16.0
mp-567197,78.0
mp-567538,60.0
mp-567652,19.0
mp-567657,34.0
mp-567744,17.0
mp-568055,120.0
mp-568139,76.0
mp-568560,18.0
mp-568671,194.0
mp-568974,61.0
mp-569196,132.0
mp-5692,186.0
mp-5693,60.0
mp-569396,34.0
mp-569406,69.0
mp-569535,31.0
mp-569671,104.0
mp-569833,107.0
mp-570935,15.0
mp-571440,14.0
mp-573697,12.0
mp-574599,46.0
mp-576,222.0
mp-581754,96.0
mp-5852,144.0
mp-5881,116.0
mp-601257,47.0
mp-605034,16.0
mp-612740,19.0
mp-615314,201.0
mp-631,253.0
mp-639789,251.0
mp-672299,86.0
mp-680932,160.0
mp-6812,54.0
mp-690785,23.0
mp-6917,67.0
mp-6931,59.0
mp-6960,26.0
mp-697044,44.0
mp-7192,73.0
mp-725,234.0
mp-728,48.0
mp-7384,112.0
mp-7475,69.0
mp-753712,45.0
mp-753802,137.0
mp-754065,131.0
mp-754154,83.0
mp-754883,83.0
mp-7555,39.0
mp-7558,144.0
mp-7623,43.0
mp-7880,60.0
mp-7939,61.0
mp-7959,91.0
mp-8033,116.0
mp-8125,69.0
mp-8137,99.0
mp-8221,187.0
mp-823,163.0
mp-827,20.0
mp-8276,63.0
mp-8279,51.0
mp-8282,204.0
mp-839,186.0
mp-8436,18.0
mp-8481,41.0
mp-8511,6.0
mp-8543,23.0
mp-8547,35.0
mp-8578,97.0
mp-8582,132.0
mp-861479,36.0
mp-861639,193.0
mp-861640,172.0
mp-861645,26.0
mp-861978,216.0
mp-862321,104.0
mp-862335,163.0
mp-862374,113.0
mp-862604,326.0
mp-862613,34.0
mp-862629,140.0
mp-862632,29.0
mp-862667,37.0
mp-862679,152.0
mp-862690,29.0
mp-862733,67.0
mp-862740,51.0
mp-862755,58.0
mp-862781,231.0
mp-862788,63.0
mp-862790,245.0
mp-862815,82.0
mp-862843,171.0
mp-862844,100.0
mp-862849,87.0
mp-862956,84.0
mp-862964,36.0
mp-862977,96.0
mp-863705,56.0
mp-863743,67.0
mp-864639,244.0
mp-864735,359.0
mp-864783,48.0
mp-864844,144.0
mp-864938,36.0
mp-864980,218.0
mp-865015,208.0
mp-865020,185.0
mp-865028,40.0
mp-865066,174.0
mp-865090,35.0
mp-865172,179.0
mp-865257,129.0
mp-865308,177.0
mp-865325,120.0
mp-865342,128.0
mp-865376,40.0
mp-865467,75.0
mp-865470,43.0
mp-865472,257.0
mp-865482,239.0
mp-865507,253.0
mp-865515,59.0
mp-865519,178.0
mp-865563,105.0
mp-865603,119.0
mp-865611,182.0
mp-865663,102.0
mp-865897,33.0
mp-865947,46.0
mp-865965,36.0
mp-865966,238.0
mp-865982,102.0
mp-865990,88.0
mp-865994,109.0
mp-866004,69.0
mp-866033,185.0
mp-866108,103.0
mp-866150,72.0
mp-866204,65.0
mp-866219,202.0
mp-867123,268.0
mp-867160,85.0
mp-867168,38.0
mp-867214,131.0
mp-867241,58.0
mp-867304,222.0
mp-867319,198.0
mp-867339,8.0
mp-867353,97.0
mp-8676,42.0
mp-867795,186.0
mp-867842,148.0
mp-867870,69.0
mp-867927,223.0
mp-8732,40.0
mp-9063,13.0
mp-9251,22.0
mp-9306,66.0
mp-936,59.0
mp-9381,114.0
mp-9385,5.0
mp-946,172.0
mp-9564,50.0
mp-9567,36.0
mp-961682,118.0
mp-961685,35.0
mp-9636,15.0
mp-971673,23.0
mp-972048,69.0
mp-972071,189.0
mp-972337,191.0
mp-972408,52.0
mp-974221,53.0
mp-974943,141.0
mp-975044,157.0
mp-975834,286.0
mp-977362,194.0
mp-977376,89.0
mp-977385,496.0
mp-977390,266.0
mp-977398,66.0
mp-977399,79.0
mp-977563,279.0
mp-978529,64.0
mp-978557,60.0
mp-978853,109.0
mp-980665,89.0
mp-980669,86.0
mp-980760,102.0
mp-9808,27.0
mp-981,65.0
mp-982511,94.0
mp-983427,56.0
mp-9844,92.0
mp-988,234.0
mp-9888,84.0
mp-989635,105.0
mp-9907,33.0
mp-9929,137.0
mp-9948,50.0
mp-996,281.0
mp-9961,112.0
mp-997004,119.0
mp-997041,51.0
mp-998344,26.0
mp-9987,224.0
mp-1000,26.0
mp-10033,23.0
mp-10063,36.0
mp-10069,167.0
mp-1007,59.0
mp-1012551,29.0
mp-1014244,177.0
mp-1017578,239.0
mp-1017987,323.0
mp-1018025,123.0
mp-1018071,217.0
mp-1018087,66.0
mp-1018098,37.0
mp-1018128,86.0
mp-1018828,106.0
mp-1018936,57.0
mp-1019089,31.0
mp-1019105,22.0
mp-10192,91.0
mp-1021323,125.0
mp-1023132,19.0
mp-1025242,91.0
mp-1025274,45.0
mp-1025296,149.0
mp-1025304,110.0
mp-1025316,129.0
mp-1025354,139.0
mp-1025375,64.0
mp-1025456,57.0
mp-1025526,111.0
mp-1029498,85.0
mp-1029520,123.0
mp-1029791,120.0
mp-10343,138.0
mp-10445,68.0
mp-10519,66.0
mp-10694,89.0
mp-10706,257.0
mp-10849,94.0
mp-10887,134.0
mp-10955,14.0
mp-11019,151.0
mp-11113,83.0
mp-1123,50.0
mp-11327,14.0
mp-1140,106.0
mp-1152,230.0
mp-11775,137.0
mp-11818,40.0
mp-11826,113.0
mp-1190,58.0
mp-11957,77.0
mp-1199,46.0
mp-12100,122.0
mp-12104,175.0
mp-1216,128.0
mp-12678,243.0
mp-12693,65.0
mp-12743,27.0
